,api_uri,district,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
289,https://api.propublica.org/congress/v1/members/N000181.json,22,nunes.house.gov,,,,Devin,/m/024tds,N000181,,Nunes,,1,1.01,2018,R,http://nunes.house.gov/news/rss.aspx,16,CA,0,99,Rep_DevinNunes,http://nunes.house.gov,97.96
290,https://api.propublica.org/congress/v1/members/N000184.json,1,noem.house.gov,,,,Kristi,/m/0c3xgn9,N000184,,Noem,,0,0.00,2018,R,http://noem.house.gov/index.cfm/rss/feed,8,SD,0,99,RepKristiNoem,https://noem.house.gov,97.98
291,https://api.propublica.org/congress/v1/members/N000188.json,1,,,DonaldNorcrossNJ,,Donald,/m/09g8b1_,N000188,,Norcross,W.,0,0.00,2018,D,https://norcross.house.gov/rss.xml,6,NJ,0,99,DonaldNorcross,https://norcross.house.gov,95.96
292,https://api.propublica.org/congress/v1/members/N000189.json,4,,,RepNewhouse,,Dan,/m/0_s0bn3,N000189,,Newhouse,,0,0.00,2018,R,https://newhouse.house.gov/rss.xml,4,WA,0,99,RepNewhouse,https://newhouse.house.gov,97.98
293,https://api.propublica.org/congress/v1/members/O000168.json,22,olson.house.gov,,20718168936,20718168936,Pete,/m/0407vf_,O000168,,Olson,,1,1.01,2018,R,https://olson.house.gov/rss.xml,10,TX,0,99,RepPeteOlson,https://olson.house.gov,97.96
294,https://api.propublica.org/congress/v1/members/O000170.json,16,orourke.house.gov,,betoorourketx16,460776160654909,Beto,/m/0dty9d,O000170,,O&#39;Rourke,,1,1.01,2018,D,https://medium.com/feed/@RepBetoORourke,6,TX,0,99,RepBetoORourke,http://orourke.house.gov,94.90
295,https://api.propublica.org/congress/v1/members/O000171.json,1,ohalleran.house.gov,,repohalleran,,Tom,/m/02z4x12,O000171,,O&#39;Halleran,,0,0.00,2018,D,https://ohalleran.house.gov/rss.xml,2,AZ,0,99,repohalleran,https://ohalleran.house.gov,89.90
296,https://api.propublica.org/congress/v1/members/P000034.json,6,pallone.house.gov,,repfrankpallone,6517277731,Frank,/m/0g6t5w,P000034,,Pallone,,0,0.00,2018,D,http://pallone.house.gov/rss.xml,32,NJ,0,99,FrankPallone,https://pallone.house.gov,95.96
297,https://api.propublica.org/congress/v1/members/P000096.json,9,pascrell.house.gov,,pascrell,303312929155,Bill,/m/03txs_,P000096,,Pascrell Jr.,,0,0.00,2018,D,http://pascrell.house.gov/rss.xml,22,NJ,0,99,BillPascrell,http://pascrell.house.gov,93.94
298,https://api.propublica.org/congress/v1/members/P000197.json,12,pelosi.house.gov,,NancyPelosi,86574174383,Nancy,/m/012v1t,P000197,,Pelosi,,14,14.14,2018,D,http://pelosi.house.gov/rss.xml,30,CA,0,99,NancyPelosi,http://pelosi.house.gov,94.12
299,https://api.propublica.org/congress/v1/members/P000258.json,7,collinpeterson.house.gov,,,,Collin,/m/02h2my,P000258,,Peterson,C.,2,2.02,2018,D,http://collinpeterson.house.gov/rss.xml,28,MN,0,99,,http://collinpeterson.house.gov,69.07
300,https://api.propublica.org/congress/v1/members/P000523.json,4,price.house.gov,,RepDavidEPrice,,David,/m/04z48c,P000523,,Price,E.,1,1.01,2018,D,https://price.house.gov/rss/press-releases.xml,30,NC,0,99,RepDavidEPrice,https://price.house.gov,95.92
301,https://api.propublica.org/congress/v1/members/P000588.json,2,pearce.house.gov,,RepStevePearce,180280568662135,Steve,/m/02z7784,P000588,,Pearce,,0,0.00,2018,R,http://pearce.house.gov/rss.xml,8,NM,0,99,RepStevePearce,http://pearce.house.gov,96.97
302,https://api.propublica.org/congress/v1/members/P000591.json,6,tomprice.house.gov,,reptomprice,172032960420,Tom,/m/04z48c,P000591,,Price,,82,96.47,2018,R,http://tomprice.house.gov/rss.xml,14,GA,0,85,RepTomPrice,https://tomprice.house.gov,33.33
303,https://api.propublica.org/congress/v1/members/P000592.json,2,poe.house.gov,,106631626049851,106631626049851,Ted,/m/04928s,P000592,,Poe,,11,11.11,2018,R,,14,TX,0,99,JudgeTedPoe,https://poe.house.gov,95.45
304,https://api.propublica.org/congress/v1/members/P000593.json,7,perlmutter.house.gov,,RepPerlmutter,86174496459,Ed,/m/07n9ns,P000593,,Perlmutter,,12,12.12,2018,D,,12,CO,0,99,RepPerlmutter,https://perlmutter.house.gov,93.10
305,https://api.propublica.org/congress/v1/members/P000594.json,3,paulsen.house.gov,,CongressmanErikPaulsen,128558293848160,Erik,/m/0407tc8,P000594,,Paulsen,,0,0.00,2018,R,https://paulsen.house.gov/rss/press-releases.xml,10,MN,0,99,RepErikPaulsen,https://paulsen.house.gov,96.97
306,https://api.propublica.org/congress/v1/members/P000597.json,1,pingree.house.gov,,ChelliePingree,91529332807,Chellie,/m/05gflq,P000597,,Pingree,,3,3.03,2018,D,https://pingree.house.gov/rss.xml,10,ME,0,99,ChelliePingree,https://pingree.house.gov,95.83
307,https://api.propublica.org/congress/v1/members/P000598.json,2,polis.house.gov,,jaredpolis,53481427529,Jared,/m/02qckk4,P000598,,Polis,,0,0.00,2018,D,http://polis.house.gov/news/rss.aspx,10,CO,0,99,JaredPolis,http://polis.house.gov,93.94
308,https://api.propublica.org/congress/v1/members/P000599.json,8,posey.house.gov,,bill.posey15,100000080395369,Bill,/m/0281vxy,P000599,,Posey,,0,0.00,2018,R,http://posey.house.gov/news/rss.aspx?DocumentTypeID=1487,10,FL,0,99,CongBillPosey,http://posey.house.gov,97.98
309,https://api.propublica.org/congress/v1/members/P000601.json,4,palazzo.house.gov,,stevenpalazzo,186908658003781,Steven,/m/0c3y_s5,P000601,,Palazzo,,1,1.01,2018,R,,8,MS,0,99,CongPalazzo,http://palazzo.house.gov,96.94
310,https://api.propublica.org/congress/v1/members/P000602.json,4,pompeo.house.gov,,CongressmanPompeo,101965369880683,Mike,/m/0cnxjk7,P000602,,Pompeo,,59,96.72,2018,R,http://pompeo.house.gov/news/rss.aspx,8,KS,0,61,RepMikePompeo,http://pompeo.house.gov,0.00
311,https://api.propublica.org/congress/v1/members/P000604.json,10,payne.house.gov,,DonaldPayneJr,360976767343741,Donald,/m/0jwr2v8,P000604,,Payne Jr.,M.,13,13.13,2018,D,http://payne.house.gov/rss.xml,8,NJ,1,99,RepDonaldPayne,http://payne.house.gov,94.19
