domain,first_name,member_id,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
www.moran.senate.gov/public/,Jerry,M000934,Moran,,1,1.39,2022,R,7,KS,0,72,JerryMoran,http://www.moran.senate.gov,98.59
,Patty,M001111,Murray,,0,0.0,2022,D,25,WA,0,72,PattyMurray,http://www.murray.senate.gov/public,95.83
www.murkowski.senate.gov,Lisa,M001153,Murkowski,,1,1.39,2022,R,17,AK,0,72,LisaMurkowski,https://www.murkowski.senate.gov,97.18
murphy.senate.gov,Christopher,M001169,Murphy,S.,2,2.78,2018,D,5,CT,0,72,ChrisMurphyCT,https://www.murphy.senate.gov,98.57
www.mccaskill.senate.gov,Claire,M001170,McCaskill,,2,2.78,2018,D,11,MO,0,72,McCaskillOffice,https://www.mccaskill.senate.gov,94.29
,Jeff,M001176,Merkley,,0,0.0,2020,D,9,OR,0,72,SenJeffMerkley,https://www.merkley.senate.gov,93.06
www.manchin.senate.gov,Joe,M001183,Manchin III,,0,0.0,2018,D,9,WV,0,72,Sen_JoeManchin,http://www.manchin.senate.gov/public,77.78
billnelson.senate.gov,Bill,N000032,Nelson,,0,0.0,2018,D,17,FL,0,72,SenBillNelson,https://www.billnelson.senate.gov,98.61
,Rob,P000449,Portman,,0,0.0,2022,R,7,OH,0,72,SenRobPortman,http://www.portman.senate.gov,97.22
peters.house.gov,Gary,P000595,Peters,,0,0.0,2020,D,3,MI,0,72,SenGaryPeters,https://www.peters.senate.gov,100.0
,Rand,P000603,Paul,,0,0.0,2022,R,7,KY,0,72,,https://www.paul.senate.gov,90.28
www.perdue.senate.gov,David,P000612,Perdue,,0,0.0,2020,R,3,GA,0,72,sendavidperdue,http://www.perdue.senate.gov,98.61
,Jack,R000122,Reed,,0,0.0,2020,D,21,RI,0,72,SenJackReed,https://www.reed.senate.gov,97.22
,Pat,R000307,Roberts,,0,0.0,2020,R,21,KS,0,72,SenPatRoberts,http://www.roberts.senate.gov,98.61
www.risch.senate.gov,Jim,R000584,Risch,,0,0.0,2020,R,9,ID,0,72,SenatorRisch,http://www.risch.senate.gov,98.61
www.rubio.senate.gov/public/,Marco,R000595,Rubio,,0,0.0,2022,R,7,FL,0,72,SenRubioPress,http://www.rubio.senate.gov,95.83
,Mike,R000605,Rounds,,0,0.0,2020,R,3,SD,0,72,SenatorRounds,http://www.rounds.senate.gov,98.61
www.sanders.senate.gov,Bernard,S000033,Sanders,,3,4.17,2018,I,11,VT,0,72,SenSanders,https://www.sanders.senate.gov,92.75
www.schumer.senate.gov,Charles,S000148,Schumer,E.,0,0.0,2022,D,19,NY,0,72,SenSchumer,https://www.schumer.senate.gov,95.83
www.shelby.senate.gov,Richard,S000320,Shelby,C.,0,0.0,2022,R,31,AL,0,72,SenShelby,http://www.shelby.senate.gov,98.61
www.stabenow.senate.gov,Debbie,S000770,Stabenow,,0,0.0,2018,D,17,MI,0,72,SenStabenow,http://www.stabenow.senate.gov,100.0
sessions.senate.gov,Jeff,S001141,Sessions,,39,65.0,2020,R,21,AL,2,60,SenatorSessions,http://www.sessions.senate.gov/public,90.48
www.shaheen.senate.gov,Jeanne,S001181,Shaheen,,0,0.0,2020,D,9,NH,0,72,SenatorShaheen,https://www.shaheen.senate.gov,97.22
scott.senate.gov,Tim,S001184,Scott,,0,0.0,2022,R,5,SC,0,72,SenatorTimScott,https://www.scott.senate.gov,98.61
,Brian,S001194,Schatz,,0,0.0,2022,D,5,HI,0,72,SenBrianSchatz,http://www.schatz.senate.gov,95.83
www.sasse.senate.gov,Ben,S001197,Sasse,,1,1.39,2020,R,3,NE,0,72,SenSasse,http://www.sasse.senate.gov/public,97.18
,Dan,S001198,Sullivan,,0,0.0,2020,R,3,AK,0,72,SenDanSullivan,http://www.sullivan.senate.gov,100.0
,Luther,S001202,Strange,,0,0.0,2020,R,1,AL,0,12,,,100.0
,John,T000250,Thune,,0,0.0,2022,R,13,SD,0,72,SenJohnThune,https://www.thune.senate.gov,98.61
,Patrick,T000461,Toomey,J.,1,1.39,2022,R,7,PA,0,72,SenToomey,http://www.toomey.senate.gov,97.18
www.tester.senate.gov,Jon,T000464,Tester,,0,0.0,2018,D,11,MT,0,72,SenatorTester,http://www.tester.senate.gov,94.44
www.tillis.senate.gov,Thom,T000476,Tillis,,5,6.94,2020,R,3,NC,0,72,senthomtillis,https://www.tillis.senate.gov/public/index.cfm/home,100.0
,Tom,U000039,Udall,,1,1.39,2020,D,10,NM,0,72,SenatorTomUdall,http://www.tomudall.senate.gov,92.96
www.vanhollen.senate.gov,Chris,V000128,Van Hollen,,0,0.0,2022,D,1,MD,0,72,ChrisVanHollen,https://www.vanhollen.senate.gov,95.83
wicker.senate.gov,Roger,W000437,Wicker,,0,0.0,2018,R,11,MS,0,72,SenatorWicker,http://www.wicker.senate.gov,95.83
www.wyden.senate.gov,Ron,W000779,Wyden,,0,0.0,2022,D,22,OR,0,72,RonWyden,https://www.wyden.senate.gov,94.44
www.whitehouse.senate.gov,Sheldon,W000802,Whitehouse,,0,0.0,2018,D,11,RI,0,72,SenWhitehouse,https://www.whitehouse.senate.gov,97.22
www.warner.senate.gov/public/,Mark,W000805,Warner,,3,4.17,2020,D,9,VA,0,72,MarkWarner,http://www.warner.senate.gov,91.3
www.warren.senate.gov,Elizabeth,W000817,Warren,,0,0.0,2018,D,5,MA,0,72,SenWarren,http://www.warren.senate.gov,93.06
www.young.senate.gov,Todd,Y000064,Young,,0,0.0,2022,R,1,IN,0,72,RepToddYoung,https://www.young.senate.gov,100.0
