api_uri,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
https://api.propublica.org/congress/v1/members/H000338.json,www.hatch.senate.gov,,senatororrinhatch,,Orrin,/m/016mj4,H000338,,Hatch,G.,0,0.00,2018,R,http://www.hatch.senate.gov/public/index.cfm/rss/feed,41,UT,0,72,SenOrrinHatch,http://www.hatch.senate.gov,97.22
https://api.propublica.org/congress/v1/members/H001041.json,www.heller.senate.gov,,SenDeanHeller,325751330177,Dean,/m/0g92xz,H001041,,Heller,,0,0.00,2018,R,,7,NV,0,72,SenDeanHeller,http://www.heller.senate.gov/public,87.50
https://api.propublica.org/congress/v1/members/H001042.json,hirono.senate.gov,,senatorhirono,,Mazie,/m/0357cd,H001042,,Hirono,K.,0,0.00,2018,D,https://www.hirono.senate.gov/rss/feeds/,5,HI,0,72,MazieHirono,https://www.hirono.senate.gov,100.00
https://api.propublica.org/congress/v1/members/H001046.json,www.heinrich.senate.gov,,MartinHeinrich,137523189213,Martin,/m/02qkv0r,H001046,,Heinrich,,1,1.39,2018,D,,5,NM,0,72,MartinHeinrich,http://www.heinrich.senate.gov,94.37
https://api.propublica.org/congress/v1/members/H001061.json,www.hoeven.senate.gov,,SenatorJohnHoeven,194483057244478,John,/m/01qb45,H001061,,Hoeven,,0,0.00,2022,R,,7,ND,0,72,SenJohnHoeven,https://www.hoeven.senate.gov,100.00
https://api.propublica.org/congress/v1/members/H001069.json,www.heitkamp.senate.gov,,SenatorHeidiHeitkamp,501810613175643,Heidi,/m/02f501,H001069,,Heitkamp,,0,0.00,2018,D,,5,ND,0,72,SenatorHeitkamp,http://www.heitkamp.senate.gov/public,80.56
https://api.propublica.org/congress/v1/members/H001075.json,www.harris.senate.gov,,,,Kamala,/m/08sry2,H001075,,Harris,,0,0.00,2022,D,,1,CA,0,72,,https://www.harris.senate.gov,97.22
https://api.propublica.org/congress/v1/members/H001076.json,,,SenatorHassan,,Margaret,,H001076,,Hassan,,0,0.00,2022,D,,1,NH,0,72,Senatorhassan,https://www.hassan.senate.gov,97.22
https://api.propublica.org/congress/v1/members/I000024.json,www.inhofe.senate.gov,,jiminhofe,55018309421,James,/m/021kpl,I000024,,Inhofe,M.,0,0.00,2020,R,,25,OK,0,72,InhofePress,http://www.inhofe.senate.gov,100.00
https://api.propublica.org/congress/v1/members/I000055.json,,,,,Johnny,/m/02556q,I000055,,Isakson,,3,4.17,2022,R,http://www.isakson.senate.gov/public/?a=RSS.Feed,13,GA,0,72,SenatorIsakson,http://www.isakson.senate.gov,98.55
https://api.propublica.org/congress/v1/members/J000293.json,www.ronjohnson.senate.gov,,senronjohnson,186181661410703,Ron,/m/0cmdpzc,J000293,,Johnson,,0,0.00,2022,R,,7,WI,0,72,SenRonJohnson,https://www.ronjohnson.senate.gov,100.00
https://api.propublica.org/congress/v1/members/K000367.json,www.klobuchar.senate.gov,,,,Amy,/m/05fbpt,K000367,,Klobuchar,,0,0.00,2018,D,,11,MN,0,72,,http://www.klobuchar.senate.gov,97.22
https://api.propublica.org/congress/v1/members/K000383.json,king.senate.gov,,SenatorAngusSKingJr,142803045874943,Angus,/m/02hfx0,K000383,,King,,0,0.00,2018,I,http://www.king.senate.gov/rss/feeds/?type=all,5,ME,0,72,SenAngusKing,http://www.king.senate.gov,86.11
https://api.propublica.org/congress/v1/members/K000384.json,kaine.senate.gov,,SenatorKaine,482778861771212,Tim,/m/053f8h,K000384,,Kaine,,1,1.39,2018,D,http://www.kaine.senate.gov/rss/feeds/,5,VA,0,72,SenKaineOffice,http://www.kaine.senate.gov,97.18
https://api.propublica.org/congress/v1/members/K000393.json,,,JohnKennedyLouisiana,,John,,K000393,,Kennedy,,0,0.00,2022,R,,1,LA,0,72,SenJohnKennedy,https://www.kennedy.senate.gov,95.83
https://api.propublica.org/congress/v1/members/L000174.json,www.leahy.senate.gov,,SenatorPatrickLeahy,178569152181267,Patrick,/m/0202kf,L000174,,Leahy,J.,0,0.00,2022,D,,43,VT,0,72,SenatorLeahy,https://www.leahy.senate.gov,98.61
